;;;STATUS OF FIXED PRICE PROJECTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Month report :;;;;;februar 2016;;Drilling : 2 533 NOK/hour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PM;;ADD new projects at end of list !;;;;;Maritime : 3 119 NOK/hour;;;;;;;;;;;;;;;;2016 INVOICING PLAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016 HOURS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New 2013;2013;Open;Sacha;DP;MODU;Fernvale: Urca/Frade…;220132101; 5105 DP Urca ;;FCST/Prognose ;2.127;820 ;386 ;(353);0;(353);467 ;57.0 %;;;;10-10-10-20-10-20-20;FCST Invoices;0 ;410 ;;;;;82 ;;;164 ;;164 ;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;386 ;238 ;148 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;3 ;386 ;238 ;;;;;;63 ;18 ;48 ;20 ;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;DP;MODU;;;;;ACTUAL;2.126;505 ;238 ;(217);0;(217);288 ;57.0 %;61.6 %;410 ;50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;DP;MODU;;;;;Rest;;315 ;148 ;(136);0;(136);179 ;;;410 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;Sacha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;PMS;MODU;;;;;BUDGET/Planlegging;1.638;1,310 ;800 ;(672);0;(672);638 ;48.7 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;PMS;MODU;Fernvale: Urca/Frade…;220132102; 6067 PMS Urca ;;FCST/Prognose ;1.832;1,310 ;715 ;(660);0;(660);650 ;49.6 %;;;;10-10-10-20-10-20-20;FCST Invoices;0 ;655 ;;;;;131 ;;;262 ;;262 ;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;715 ;508 ;207 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;3 ;715 ;508 ;;3 ;;;15 ;;137 ;40 ;13 ;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;PMS;MODU;;;;;ACTUAL;1.823;983 ;540 ;(495);0;(495);488 ;49.6 %;75.1 %;655 ;50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;PMS;MODU;;;;;Rest;;327 ;176 ;(165);0;(165);162 ;;;655 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;Sacha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;SPT;MODU;;;;;BUDGET/Planlegging;1.640;1,230 ;750 ;(630);0;(630);600 ;48.8 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
